date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
2017-04-12,Bank account or service,Checking account,Problems caused by my funds being low,,"I have documentation that shows that US Bank would not charge a Returned Item Fee nor an Overdraft Fee on my account ( Number XXXX ). When a withdrawal or other debit came in and there were non-sufficient funds, the payment was returned, without charging any fees, unless the resulting overdraft amount was negligible ( This occurred seven times between XX/XX/XXXX and XX/XX/XXXX on the old account as shown by notices received in the mail attached herein ). 
On XX/XX/XXXX, I opened a new account at US Bank ( XXXX XXXX ). On XX/XX/XXXX, an overdraft fee was charged, and a few days later two other payments were returned, one other was returned and more fees were added. The Bank has failed to provide satisfactorily explanation of this change in policy. At the time of opening the new account, I was not given any notice or warning that new rules would apply. The Bank keeps adding extended overdraft fees. 
In my perception, the bank should have not honored any payments that were underfunded nor charged any fees for overdraft nor returned items because US Bank created a reasonable expectation through consistent behavior upon which reliance was reasonable. The Bank should bring the account to XXXX balance at its own expense. Further, the bank should refrain form a threatened charge off or any other report that will harm my credit history.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,CA,928XX,,Consent provided,Web,2017-04-12,Closed with explanation,true,No,2431565
2017-04-19,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",AL,350XX,Older American,,Web,2017-04-19,Closed with explanation,true,No,2442864
2017-04-19,Credit card,,Other,,,,AMERICAN EXPRESS CENTURION BANK,GA,30030,,N/A,Referral,2017-04-20,Closed with monetary relief,true,No,2443256
2017-03-21,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,WI,53405,,Consent not provided,Web,2017-03-21,Closed with explanation,true,No,2398113
2017-04-18,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,"AC Autopay, LLC",KS,67002,,,Web,2017-04-18,Untimely response,false,No,2437553
2017-04-07,Credit card,,APR or interest rate,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",AZ,85296,,N/A,Referral,2017-04-07,Closed with monetary relief,true,No,2425048
2015-12-17,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"Alpine Credit, Inc",CO,80017,,Consent not provided,Web,2015-12-17,Closed with explanation,false,No,1706577
2017-03-21,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,NC,28216,,Consent not provided,Web,2017-03-21,Closed with non-monetary relief,true,No,2398377
2017-03-21,Credit reporting,,Incorrect information on credit report,Account status,Experian reporting of XXXX XXXX reflects a foreflosure. this was a short sale of the property done on XX/XX/2013. this is not reported accurately,Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,PA,190XX,,Consent provided,Web,2017-03-21,Closed with explanation,true,No,2398200
2017-04-19,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48623,,N/A,Referral,2017-04-20,Closed with explanation,true,No,2441825
2017-03-04,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,NC,28731,Older American,Consent not provided,Web,2017-03-04,Closed with explanation,true,No,2371632
2017-04-19,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,93550,,Consent not provided,Web,2017-04-19,Closed with explanation,true,No,2443560
