County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
New York,719807,Store,A,THE TJX COMPANIES INC,TJ MAX 1185,407,E 59TH ST,,,NEW YORK,NY,10022,11000,POINT (-73.961354 40.759362)
Kings,734849,Store,JAC,CROWN STAR DELI INC,CROWN STAR DELI,240,UTICA AVE,,,BROOKLYN,NY,11213,1000,POINT (-73.930974 40.670349)
Monroe,746843,Store,JAC,ADEN MINI MART INC,ADEN MINI MART,1384,N CLINTON AVENUE,,,ROCHESTER,NY,14621,0,POINT (-77.613766 43.185103)
Bronx,718974,Store,JAC,A&G DELI GROCERY II CORP,A & G DELI GROCERY II,976,PROSPECT AVE,,,BRONX,NY,10459,0,POINT (-73.900093 40.823323)
Onondaga,311153,Store,JABC,TOPS PT LLC,TOPS 357,2265,DOWNER ST,,,BALDWINSVILLE,NY,13027,50000,
Kings,735820,Store,JAC,THREE STARS DELI 1 CORP,THREE STARS DELI 1,1221,FLATBUSH AVE,,,BROOKLYN,NY,11226,0,POINT (-73.955391 40.640256)
Tompkins,500112,Store,JABC,TOPS MARKETS LLC,TOPS 525,710,SOUTH MEADOW ST,,,ITHACA,NY,14850,0,POINT (-76.508019 42.432122)
New York,731076,Store,A,MILLENNIUM CONVENIENCE & GROCERY,MILLENNIUM CONVENIENCE,1737,YORK AVE,,,NEW YORK,NY,10128,1500,POINT (-73.945051 40.778778)
Madison,255166,Store,JAC,UNITED REFINING CO OF PA INC,RED APPLE FD MRT M0361,129,N MAIN ST  (RT 46),,,ONEIDA,NY,13421,1200,POINT (-75.653321 43.097207)
Queens,751075,Store,JAC,120 FRESH MARKET INC,HAPPY FARM,120-01,LIBERTY AVE,,,SOUTH RICHMOND HIL,NY,11419,0,POINT (-73.822998 40.686694)
Kings,612528,Store,A,WALGREEN EASTERN CO INC,WALGREENS 2650,5716,AVENUE U,,,BROOKLYN,NY,11234,10000,POINT (-73.917183 40.613298)
Greene,727075,Store,JAC,TAMANNA INC,TAMANNA,441,MAIN ST PO BOX 845,,,CAIRO,NY,12413,800,POINT (-73.994395 42.295963)
